,word,afinn_score,sentiment,bing_score,combined_score
834,breathtaking,5.0,5.0,3.0,4.5
6921,superb,5.0,5.0,3.0,4.5
5139,outstanding,5.0,5.0,3.0,4.5
7096,thrilled,5.0,5.0,3.0,4.5
2744,fantastic,4.0,4.0,3.0,3.75
4737,miracle,4.0,4.0,3.0,3.75
2310,ecstatic,4.0,4.0,3.0,3.75
2666,exuberant,4.0,4.0,3.0,3.75
7058,terrific,4.0,4.0,3.0,3.75
2681,fabulous,4.0,4.0,3.0,3.75
4469,lifesaver,4.0,4.0,3.0,3.75
7855,wonderful,4.0,4.0,3.0,3.75
7834,wins,4.0,4.0,3.0,3.75
3611,hurrah,5.0,5.0,0.0,3.75
7896,wow,4.0,4.0,3.0,3.75
514,awesome,4.0,4.0,3.0,3.75
5728,rapturous,4.0,4.0,3.0,3.75
7833,winning,4.0,4.0,3.0,3.75
5839,rejoice,4.0,4.0,3.0,3.75
267,amazing,4.0,4.0,3.0,3.75
7831,winner,4.0,4.0,3.0,3.75
5163,overjoyed,4.0,4.0,3.0,3.75
7827,win,4.0,4.0,3.0,3.75
3096,fun,4.0,4.0,3.0,3.75
4668,masterpieces,4.0,4.0,3.0,3.75
4667,masterpiece,4.0,4.0,3.0,3.75
7218,triumph,4.0,4.0,3.0,3.75
7220,triumphant,4.0,4.0,3.0,3.75
2517,euphoric,4.0,4.0,3.0,3.75
3223,godsend,4.0,4.0,3.0,3.75
3473,heavenly,4.0,4.0,3.0,3.75
5842,rejoicing,4.0,4.0,3.0,3.75
846,brilliant,4.0,4.0,3.0,3.75
6818,stunning,4.0,4.0,3.0,3.75
5477,praising,3.0,3.0,3.0,3.0
4557,loyal,3.0,3.0,3.0,3.0
4539,love,3.0,3.0,3.0,3.0
4714,merry,3.0,3.0,3.0,3.0
4540,loved,3.0,3.0,3.0,3.0
4303,joyfully,3.0,3.0,3.0,3.0
290,amuse,3.0,3.0,3.0,3.0
4545,lovely,3.0,3.0,3.0,3.0
1053,cheery,3.0,3.0,3.0,3.0
3381,happiness,3.0,3.0,3.0,3.0
3382,happy,3.0,3.0,3.0,3.0
2574,excite,3.0,3.0,3.0,3.0
2575,excited,3.0,3.0,3.0,3.0
2578,excitement,3.0,3.0,3.0,3.0
2580,exciting,3.0,3.0,3.0,3.0
2516,euphoria,3.0,3.0,3.0,3.0
724,blessing,3.0,3.0,3.0,3.0
729,bliss,3.0,3.0,3.0,3.0
4537,lovable,3.0,3.0,3.0,3.0
1086,classy,3.0,3.0,3.0,3.0
2567,excellent,3.0,3.0,3.0,3.0
2565,excellence,3.0,3.0,3.0,3.0
5408,pleased,3.0,3.0,3.0,3.0
6566,soothe,3.0,3.0,3.0,3.0
122,admire,3.0,3.0,3.0,3.0
4492,lmao,4.0,4.0,0.0,3.0
4493,lmfao,4.0,4.0,0.0,3.0
126,admiring,3.0,3.0,3.0,3.0
654,best,3.0,3.0,3.0,3.0
448,astounding,3.0,3.0,3.0,3.0
2669,exultant,3.0,3.0,3.0,3.0
7853,won,3.0,3.0,3.0,3.0
447,astounded,3.0,3.0,3.0,3.0
5473,praise,3.0,3.0,3.0,3.0
3270,great,3.0,3.0,3.0,3.0
139,adorable,3.0,3.0,3.0,3.0
140,adore,3.0,3.0,3.0,3.0
141,adored,3.0,3.0,3.0,3.0
730,blissful,3.0,3.0,3.0,3.0
1023,charming,3.0,3.0,3.0,3.0
7861,woo,3.0,3.0,3.0,3.0
5414,pleasure,3.0,3.0,3.0,3.0
7659,vigilant,3.0,3.0,3.0,3.0
6294,sexy,3.0,3.0,3.0,3.0
3101,funnier,4.0,4.0,0.0,3.0
4660,marvels,3.0,3.0,3.0,3.0
4657,marvelous,3.0,3.0,3.0,3.0
4302,joyful,3.0,3.0,3.0,3.0
4653,marvel,3.0,3.0,3.0,3.0
4350,kudos,3.0,3.0,3.0,3.0
3256,grateful,3.0,3.0,3.0,3.0
3228,goodness,3.0,3.0,3.0,3.0
3135,gallantly,3.0,3.0,3.0,3.0
829,breakthrough,3.0,3.0,3.0,3.0
3467,heartfelt,3.0,3.0,3.0,3.0
2340,elated,3.0,3.0,3.0,3.0
2342,elation,3.0,3.0,3.0,3.0
3226,good,3.0,3.0,3.0,3.0
3184,glamorous,3.0,3.0,3.0,3.0
2603,exhilarating,3.0,3.0,3.0,3.0
1022,charm,3.0,3.0,3.0,3.0
995,celebrated,3.0,3.0,3.0,3.0
176,affection,3.0,3.0,3.0,3.0
177,affectionate,3.0,3.0,3.0,3.0
4558,loyalty,3.0,3.0,3.0,3.0
738,blockbuster,3.0,3.0,3.0,3.0
5310,perfect,3.0,3.0,3.0,3.0
4561,luck,3.0,3.0,3.0,3.0
7638,vibrant,3.0,3.0,3.0,3.0
994,celebrate,3.0,3.0,3.0,3.0
3134,gallant,3.0,3.0,3.0,3.0
2755,fascinating,3.0,3.0,3.0,3.0
4566,lucky,3.0,3.0,3.0,3.0
3180,glad,3.0,3.0,3.0,3.0
3189,gleeful,3.0,3.0,3.0,3.0
3506,heroic,3.0,3.0,3.0,3.0
3188,glee,3.0,3.0,3.0,3.0
2752,fascinate,3.0,3.0,3.0,3.0
625,beloved,3.0,3.0,3.0,3.0
446,astound,3.0,3.0,3.0,3.0
5456,popular,3.0,3.0,3.0,3.0
6619,splendid,3.0,3.0,3.0,3.0
2464,enthusiastic,3.0,3.0,3.0,3.0
7696,visionary,3.0,3.0,3.0,3.0
7702,vivacious,3.0,3.0,3.0,3.0
6063,rofl,4.0,4.0,0.0,3.0
2458,enthral,3.0,3.0,3.0,3.0
6065,roflmao,4.0,4.0,0.0,3.0
6076,rotfl,4.0,4.0,0.0,3.0
449,astoundingly,3.0,3.0,3.0,3.0
3248,grand,3.0,3.0,3.0,3.0
6077,rotflmfao,4.0,4.0,0.0,3.0
4305,joyous,3.0,3.0,3.0,3.0
5313,perfectly,3.0,3.0,3.0,3.0
3072,ftw,3.0,3.0,3.0,3.0
5405,pleasant,3.0,3.0,3.0,3.0
6078,rotflol,4.0,4.0,0.0,3.0
4307,jubilant,3.0,3.0,3.0,3.0
3779,impressive,3.0,3.0,3.0,3.0
4301,joy,3.0,3.0,3.0,3.0
2702,faithful,3.0,3.0,3.0,3.0
3158,genial,3.0,3.0,3.0,3.0
3272,greatest,3.0,3.0,3.0,3.0
5840,rejoiced,4.0,4.0,0.0,3.0
5841,rejoices,4.0,4.0,0.0,3.0
6920,super,3.0,3.0,3.0,3.0
3776,impress,3.0,3.0,3.0,3.0
4966,nice,3.0,3.0,3.0,3.0
7899,wowow,4.0,4.0,0.0,3.0
3777,impressed,3.0,3.0,3.0,3.0
3778,impresses,3.0,3.0,3.0,3.0
508,award,3.0,3.0,3.0,3.0
509,awarded,3.0,3.0,3.0,3.0
7901,wowww,4.0,4.0,0.0,3.0
510,awards,3.0,3.0,3.0,3.0
5247,paradise,3.0,3.0,3.0,3.0
6064,roflcopter,4.0,4.0,0.0,3.0
595,beautiful,3.0,3.0,3.0,3.0
2443,enrapture,3.0,3.0,3.0,3.0
5609,prosperous,3.0,3.0,3.0,3.0
597,beautifully,3.0,3.0,3.0,3.0
6591,sparkle,3.0,3.0,3.0,3.0
598,beautify,3.0,3.0,3.0,3.0
3243,gracious,3.0,3.0,3.0,3.0
1642,delight,3.0,3.0,3.0,3.0
1643,delighted,3.0,3.0,3.0,3.0
6593,sparkling,3.0,3.0,3.0,3.0
7863,wooo,4.0,4.0,0.0,3.0
6877,successful,3.0,3.0,3.0,3.0
7864,woow,4.0,4.0,0.0,3.0
4090,inspiring,3.0,3.0,3.0,3.0
4086,inspirational,2.0,2.0,3.0,2.25
4489,lively,2.0,2.0,3.0,2.25
500,avid,2.0,2.0,3.0,2.25
573,bargain,2.0,2.0,3.0,2.25
4087,inspire,2.0,2.0,3.0,2.25
2602,exhilarates,3.0,3.0,0.0,2.25
2601,exhilarated,3.0,3.0,0.0,2.25
6283,serene,2.0,2.0,3.0,2.25
6147,satisfied,2.0,2.0,3.0,2.25
7591,useful,2.0,2.0,3.0,2.25
3185,glamourous,3.0,3.0,0.0,2.25
4505,lol,3.0,3.0,0.0,2.25
450,astounds,3.0,3.0,0.0,2.25
635,benefits,2.0,2.0,3.0,2.25
3271,greater,3.0,3.0,0.0,2.25
6009,rich,2.0,2.0,3.0,2.25
6000,reward,2.0,2.0,3.0,2.25
6002,rewarding,2.0,2.0,3.0,2.25
5943,responsive,2.0,2.0,3.0,2.25
466,attraction,2.0,2.0,3.0,2.25
5269,passionate,2.0,2.0,3.0,2.25
5549,privileged,2.0,2.0,3.0,2.25
2953,fondness,2.0,2.0,3.0,2.25
816,brave,2.0,2.0,3.0,2.25
4185,invincible,2.0,2.0,3.0,2.25
2951,fond,2.0,2.0,3.0,2.25
5944,restful,2.0,2.0,3.0,2.25
6023,right direction,3.0,3.0,0.0,2.25
7304,unbiased,2.0,2.0,3.0,2.25
2609,exonerate,2.0,2.0,3.0,2.25
3103,funny,4.0,4.0,-3.0,2.25
4158,intricate,2.0,2.0,3.0,2.25
3405,hardy,2.0,2.0,3.0,2.25
3350,haha,3.0,3.0,0.0,2.25
4406,lawl,3.0,3.0,0.0,2.25
4085,inspiration,2.0,2.0,3.0,2.25
734,blithe,2.0,2.0,3.0,2.25
5400,playful,2.0,2.0,3.0,2.25
5780,recommended,2.0,2.0,3.0,2.25
722,bless,2.0,2.0,3.0,2.25
442,astonished,2.0,2.0,3.0,2.25
3353,hail,2.0,2.0,3.0,2.25
594,beauties,3.0,3.0,0.0,2.25
4046,innovative,2.0,2.0,3.0,2.25
4474,like,2.0,2.0,3.0,2.25
6198,scoop,3.0,3.0,0.0,2.25
591,beatific,3.0,3.0,0.0,2.25
4548,loving,2.0,2.0,3.0,2.25
4542,lovelies,3.0,3.0,0.0,2.25
5989,revives,2.0,2.0,3.0,2.25
4130,interesting,2.0,2.0,3.0,2.25
3352,hahahah,3.0,3.0,0.0,2.25
666,better,2.0,2.0,3.0,2.25
5475,praises,3.0,3.0,0.0,2.25
3351,hahaha,3.0,3.0,0.0,2.25
4476,likes,2.0,2.0,3.0,2.25
3400,hardier,2.0,2.0,3.0,2.25
4125,intelligent,2.0,2.0,3.0,2.25
3258,gratification,2.0,2.0,3.0,2.25
4006,influential,2.0,2.0,3.0,2.25
4564,luckily,3.0,3.0,0.0,2.25
4475,liked,2.0,2.0,3.0,2.25
6236,secure,2.0,2.0,3.0,2.25
2991,fortunate,2.0,2.0,3.0,2.25
5777,recommend,2.0,2.0,3.0,2.25
6035,rigorous,3.0,3.0,0.0,2.25
6036,rigorously,3.0,3.0,0.0,2.25
5988,revive,2.0,2.0,3.0,2.25
5257,pardon,2.0,2.0,3.0,2.25
6057,robust,2.0,2.0,3.0,2.25
634,benefit,2.0,2.0,3.0,2.25
4682,meaningful,2.0,2.0,3.0,2.25
842,brightest,2.0,2.0,3.0,2.25
1227,confident,2.0,2.0,3.0,2.25
3607,humour,2.0,2.0,3.0,2.25
3793,improvement,2.0,2.0,3.0,2.25
3608,humourous,2.0,2.0,3.0,2.25
3792,improved,2.0,2.0,3.0,2.25
3791,improve,2.0,2.0,3.0,2.25
2805,favorited,2.0,2.0,3.0,2.25
2804,favorite,2.0,2.0,3.0,2.25
2803,favored,2.0,2.0,3.0,2.25
2801,favor,2.0,2.0,3.0,2.25
1250,congratulate,2.0,2.0,3.0,2.25
1251,congratulation,2.0,2.0,3.0,2.25
1252,congratulations,2.0,2.0,3.0,2.25
4983,noble,2.0,2.0,3.0,2.25
6953,survivor,2.0,2.0,3.0,2.25
